"Id","Label","Weight"
"access","access",4.44037104832859
"concept","concept",12.390930525238
"content","content",14.7501856945755
"context","context",4.69825931189311
"control","control",3.39928689065142
"function","function",5.0248128329371
"generat","generated",12.3855340160073
"help","help",3.72942861714722
"instruct","instructional",3.43740763811022
"learner","learners",8.65961617378626
"map","map",14.9194481031517
"object","objects",55.2979880606176
"practic","practice",14.7704579716169
"process","process",9.02284235492466
"read","reading",7.7395583206559
"relat","related",6.37247693112801
"semant","semantic",32.0268912505151
"share","shared",3.29315122709259
"student","students",3.3734727694096
"teach","teach",15.9185420636129
"teacher","teachers",19.2379451556856
"video","video",8.77711699366685
